BlockNo_	S3300047	S3300074	S3300239
Block1	0.01581	0.02931	0.03666
Block2	0.63848	0.41214	0.41915
Block3	0.94684	0.95956	0.94628
Block4	0.81224	0.76777	0.74629
Block5	0.22945	0.28197	0.28089
Block6	0.79091	0.76633	0.7733
Block7	0.75961	0.64622	0.68901
Block8	0.5796	0.49385	0.42398
Block9	0.0058	0.00307	0.00171
Block10	0.84483	0.81056	0.80149
Block11	0.0936	0.14968	0.10515
Block12	0.83886	0.89022	0.88636
Block13	0.63268	0.61389	0.64644
Block14	0.00056	0.01771	0.009
Block15	0.8796	0.87685	0.87391
Block16	0.0178	0.02609	0.02858
Block17	0.79305	0.76603	0.75598
Block18	0.00628	0.0032	0.0055
Block19	0.81224	0.83551	0.7987
Block20	0.87983	0.87437	0.8794
Block21	0.3045	0.32715	0.29103
Block22	0.7991	0.82307	0.79879
Block23	0.11907	0.15817	0.16687
Block24	0.78823	0.7989	0.75649
Block25	0.81112	0.78779	0.81997
Block26	0.88703	0.86954	0.88024
Block27	0.03237	0.09907	0.08155
Block28	0.85821	0.68173	0.69517
Block29	0.8125	0.50633	0.40625
Block30	0.30694	0.26185	0.20969
Block31	0.01476	0.02478	0.01805
Block32	0.00181	0.00404	0.00599
Block33	0.74998	0.74566	0.71252
Block34	0.67709	0.43655	0.47289
Block35	0.87757	0.83774	0.83873
Block36	0.64066	0.63937	0.63354
Block37	0.8	0.82685	0.78504
Block38	0.91343	0.89734	0.92274
Block39	0.83254	0.82435	0.82607
Block40	0.02159	0.02194	0.03126
Block41	0.76013	0.74051	0.74664
Block42	0.05047	0.12897	0.08233
Block43	0.04101	0.04171	0.05655
Block44	0.94359	0.94859	0.94205
Block45	0.84524	0.85564	0.8516
Block46	0.77674	0.71992	0.71436
Block47	0.00152	0.00016	0.00041
Block48	0.84134	0.85348	0.85807
Block49	0.78387	0.73218	0.6456
Block50	0.85577	0.83914	0.83009
Block51	0.87452	0.80259	0.79068
Block52	0	0.00023	0.00017
Block53	0.83538	0.82844	0.84297
Block54	0.0495	0.1086	0.09698
Block55	0.58616	0.5253	0.46235
Block56	0.80097	0.81554	0.81366
Block57	0.92895	0.87781	0.9071
Block58	0.00587	0.00656	0.01322
Block59	0.78579	0.68143	0.65218
Block60	0.75	0.69231	0.73333
Block61	0.02659	0.08576	0.03996
Block62	0.81122	0.81304	0.85319
Block63	0.00298	0.00169	0.00116
Block64	0.20333	0.26075	0.23478
Block65	0.13814	0.12724	0.11843
Block66	0.73795	0.6952	0.643
Block67	0.72481	0.65664	0.65889
Block68	0.88728	0.88856	0.90111
Block69	0.66633	0.61652	0.64633
Block70	0.00671	0.00771	0.006
Block71	0.90417	0.90122	0.87383
Block72	0.0348	0.02301	0.07085
Block73	0.52765	0.38724	0.41048
Block74	0.38984	0.34077	0.34693
Block75	0.87199	0.89303	0.90904
Block76	0.64732	0.70182	0.7118
Block77	0.078	0.23127	0.18572
Block78	0.86377	0.85151	0.86531
Block79	0.69593	0.67386	0.67076
Block80	0.03074	0.03492	0.03752
Block81	0.65314	0.68691	0.72605
Block82	0.7871	0.72399	0.7179
Block83	0.78089	0.75239	0.76774
Block84	0.04259	0.04497	0.08726
Block85	0.04439	0.10217	0.11998
Block86	0	0.00481	0.00012
Block87	0.32222	0.38258	0.26296
Block88	0.78022	0.78409	0.73864
Block89	0.87119	0.8335	0.82764
Block90	0.17273	0.22073	0.20106
Block91	0.82681	0.82516	0.78099
Block92	0.83806	0.85321	0.86433
Block93	0.00132	0.00301	0.00158
Block94	0.74061	0.72568	0.70739
Block95	0.76327	0.7543	0.81983
Block96	0.79539	0.82851	0.76292
Block97	0.76882	0.7839	0.76799
Block98	0.21642	0.05415	0.03522
Block99	0.01429	0.09866	0.05749
Block100	0.77675	0.73402	0.77227
Block101	0.79629	0.79982	0.81648
Block102	0.18888	0.17767	0.17791
Block103	0.87691	0.6671	0.65623
Block104	0.75484	0.75933	0.71922
Block105	0.05453	0.12723	0.12191
Block106	0.88218	0.86305	0.86212
Block107	0.00084	0.00303	0.00337
Block108	0.81379	0.84295	0.87516
Block109	0.84516	0.83302	0.84556
Block110	0.05813	0.08365	0.07913
Block111	0.88359	0.91602	0.88079
Block112	0.09191	0.02271	0.04205
Block113	0.84949	0.82606	0.86861
Block114	0.01135	0.0048	0.00663
Block115	0.50211	0.69737	0.66722
Block116	0.86998	0.83031	0.80075
Block117	0.91917	0.90753	0.8777
Block118	0.79576	0.67772	0.67615
Block119	0.03336	0.04634	0.03645
Block120	0.0017	0.01751	0.01172
Block121	0.83402	0.83634	0.76798
Block122	0.29124	0.2797	0.31759
Block123	0.03531	0.1384	0.12022
Block124	0.71739	0.80307	0.79345
Block125	0.77024	0.54082	0.53726
Block126	0.79184	0.73377	0.69354
Block127	0.40976	0.58253	0.50283
Block128	0.42307	0.36477	0.23891
Block129	0.81641	0.80752	0.81566
Block130	0.018	0.02849	0.04777
Block131	0.87006	0.85903	0.86919
Block132	0.78983	0.67133	0.67282
Block133	0.90379	0.84315	0.81922
Block134	0.87112	0.86717	0.89498
Block135	0.62933	0.64434	0.58722
Block136	0.54388	0.30117	0.33163
Block137	0.6766	0.68826	0.71617
Block138	0.02146	0.03777	0.04374
Block139	0.07886	0.0731	0.10969
Block140	0.03664	0.084	0.10917
Block141	0.6941	0.61278	0.64602
Block142	0.54289	0.58101	0.59146
Block143	0.93594	0.91883	0.91228
Block144	0.83465	0.79975	0.83175
Block145	0.83103	0.83644	0.84684
Block146	0.51252	0.15916	0.33467
Block147	0.03697	0.05049	0.08007
Block148	0.13015	0.09547	0.091
Block149	0.85945	0.81513	0.78609
Block150	0.03255	0.1097	0.06006
Block151	0.7992	0.83306	0.81947
Block152	0.43141	0.38301	0.39964
Block153	0.77421	0.82301	0.80871
Block154	0.66326	0.38438	0.41524
Block155	0.86218	0.8595	0.84105
Block156	0.01925	0.0246	0.03552
Block157	0.01152	0.01091	0.02044
Block158	0.82611	0.78924	0.76788
Block159	0.74746	0.74707	0.72523
Block160	0.85755	0.80994	0.83486
Block161	0.20641	0.79407	0.78849
Block162	0.71288	0.66172	0.75022
Block163	0.40565	0.27171	0.46103
Block164	0.6562	0.568	0.57298
Block165	0.00229	0	0
Block166	0.07026	0.0714	0.10688
Block167	0.91787	0.83117	0.84066
Block168	0	0	0
Block169	0.71605	0.65476	0.54273
Block170	0.00355	0.03665	0.02723
Block171	0.15341	0.10125	0.10859
Block172	0.0623	0.08053	0.06206
Block173	0.00269	0.00968	0.00521
Block174	0.04081	0.07154	0.07043
Block175	0.84135	0.85634	0.88026
Block176	0.11515	0.16176	0.19786
Block177	0.01455	0.01455	0.03171
Block178	0.05152	0.10221	0.11031
Block179	0.75392	0.80617	0.77358
Block180	0.83426	0.86995	0.83072
Block181	0.76395	0.78278	0.75751
Block182	0.88937	0.55319	0.56136
Block183	0.05615	0.06442	0.06011
Block184	0.0398	0.12522	0.08124
Block185	0.04458	0.13923	0.06562
Block186	0.92335	0.8883	0.88934
Block187	0.0017	0.01125	0.00577
Block188	0.91865	0.91667	0.83664
Block189	0.0569	0.09344	0.06702
Block190	0.92849	0.94696	0.91049
Block191	0.8153	0.80094	0.82654
Block192	0.53868	0.45036	0.46432
Block193	0.15645	0.16795	0.1798
Block194	0.85037	0.84661	0.86333
Block195	0.80959	0.38564	0.46212
Block196	0.79225	0.77794	0.78091
Block197	0.02458	0.04215	0.0557
Block198	0.84741	0.82269	0.81851
Block199	0.85075	0.85226	0.84049
Block200	5e-05	0.00079	0.00442
Block201	0.86872	0.86007	0.85903
Block202	0.81866	0.82777	0.82872
Block203	0.91251	0.93654	0.92389
Block204	0.87711	0.83687	0.84194
Block205	0.81991	0.79871	0.83139
Block206	0.14104	0.10633	0.08298
Block207	0.81955	0.77952	0.84235
Block208	0.108	0.03163	0.06791
Block209	0.85738	0.88378	0.87399
Block210	0.01024	0.00658	0.00334
Block211	0.80008	0.79292	0.8144
Block212	0.83637	0.82149	0.82975
Block213	0.80528	0.80454	0.78332
Block214	0.16001	0.08087	0.0991
Block215	0.82087	0.73208	0.78419
Block216	0.08298	0.15977	0.17445
Block217	0.84727	0.81071	0.81844
Block218	0.84803	0.80937	0.77488
Block219	0.23591	0.26025	0.16287
Block220	0.83304	0.8207	0.85017
Block221	0.59579	0.23879	0.23204
Block222	0.84948	0.84603	0.84998
Block223	0.80094	0.48549	0.52179
Block224	0.6875	0.64244	0.49242
Block225	1	0.96512	0.94231
Block226	0.00662	0.0127	0.00497
Block227	0.57774	0.49089	0.45755
Block228	0.84511	0.80312	0.83341
Block229	0.32825	0.20497	0.33991
Block230	0.08428	0.16178	0.11367
Block231	0.02475	0.01961	0.07335
Block232	0.92492	0.87687	0.91699
Block233	0.00494	0.01005	0.02338
Block234	0.19593	0.17651	0.32485
Block235	0.78482	0.7659	0.76268
Block236	0.81047	0.83889	0.81532
Block237	0.69806	0.76224	0.74171
Block238	0.73214	0.39182	0.42456
Block239	0.78227	0.80321	0.79681
Block240	0.84235	0.8453	0.83463
Block241	0.02331	0.0338	0.0267
Block242	0.04893	0.08703	0.06724
Block243	0.83556	0.74382	0.76408
Block244	0.80933	0.80523	0.76663
Block245	0.76373	0.78568	0.76809
Block246	0.03298	0.04349	0.04661
Block247	0.87692	0.86447	0.90588
Block248	0.00826	0.02167	0.02059
Block249	0.83664	0.86174	0.84449
Block250	0.77787	0.81851	0.77588
Block251	0.7721	0.72267	0.67495
Block252	0.02117	0.06456	0.04643
Block253	0.76389	0.76455	0.74074
Block254	0.65282	0.81884	0.81759
Block255	0.78895	0.77725	0.76998
Block256	0.79695	0.7708	0.77569
Block257	0.00564	0.01454	0.02665
Block258	0.84179	0.83524	0.8377
Block259	0.72655	0.74961	0.7733
Block260	0.75028	0.68931	0.62764
Block261	0.83282	0.80995	0.83922
Block262	0.7557	0.67264	0.70394
Block263	0.65522	0.66679	0.61815
Block264	0.04799	0.05939	0.09773
Block265	0.80032	0.81358	0.80096
Block266	0	0	0
Block267	0.94271	0.83957	0.82407
Block268	0.38793	0.31184	0.40841
Block269	0.69939	0.72934	0.71926
Block270	0.98667	0.94421	0.91822
Block271	0.82285	0.60439	0.67627
Block272	0.82762	0.78514	0.83616
Block273	0.08251	0.14705	0.15011
Block274	0.86792	0.85671	0.80233
Block275	0.87602	0.86948	0.84935
Block276	0.08094	0.11029	0.12739
Block277	0.04531	0.05677	0.03699
Block278	0.84753	0.81081	0.78606
Block279	0.05234	0.15794	0.11836
Block280	0.00115	0.00368	0.00218
Block281	0.88748	0.84584	0.86143
Block282	0.61851	0.32595	0.41984
Block283	0.95	0.85185	0.90698
Block284	0.10366	0.08099	0.08696
Block285	0.71423	0.7553	0.75858
Block286	0.74791	0.74114	0.73455
Block287	0.68455	0.82634	0.78663
Block288	0.57956	0.48809	0.66693
Block289	0.68544	0.64914	0.64454
Block290	0.06126	0.15193	0.14155
Block291	0.61102	0.6264	0.59928
Block292	0.8755	0.83119	0.87124
Block293	0.83123	0.76718	0.81946
Block294	0.04164	0.12004	0.09627
Block295	0.0605	0.05658	0.1054
Block296	0	0.00021	0
Block297	0.75433	0.79012	0.78426
Block298	0.00505	0.02778	0.0651
Block299	0.87608	0.81935	0.8141
Block300	0.71477	0.70159	0.6402
Block301	0.01077	0.02649	0.02741
Block302	0.76089	0.79934	0.79328
Block303	0.85831	0.83333	0.83473
Block304	0.83356	0.87778	0.82553
Block305	0.05697	0.11377	0.07099
Block306	0.91747	0.89244	0.86396
Block307	0.16316	0.14972	0.10249
Block308	0.70498	0.70502	0.70012
Block309	0.01453	0.00844	0.03443
Block310	0.84899	0.9325	0.90476
Block311	0.77234	0.8045	0.79118
Block312	0.02937	0.04635	0.0512
Block313	0.89229	0.9101	0.89961
Block314	0.05143	0.1134	0.09758
Block315	0.12335	0.23064	0.20727
Block316	0.01944	0.01666	0.00968
Block317	0.7833	0.72991	0.75848
Block318	0.11186	0.22407	0.11957
Block319	0.63999	0.67935	0.44731
Block320	0.76415	0.68924	0.70413
Block321	0.83825	0.82118	0.83664
Block322	0.82707	0.85759	0.84528
Block323	0.01936	0.023	0.03487
Block324	0.04145	0.1575	0.16459
Block325	0.89489	0.85985	0.81426
Block326	0.83736	0.76479	0.76543
Block327	0.80649	0.76652	0.75244
Block328	0.01454	0.03043	0.0221
Block329	0	0	0
Block330	0.05404	0.11083	0.07171
Block331	0.83294	0.83302	0.86143
Block332	0	0.0113	0
Block333	0.54413	0.21044	0.2421
Block334	0.53229	0.4778	0.57756
Block335	0.75116	0.70162	0.69171
Block336	0.61818	0.47906	0.49855
Block337	0.82721	0.82723	0.82422
Block338	0.80463	0.72825	0.74176
Block339	0.01287	0.02225	0.03665
Block340	0.50107	0.4973	0.51801
Block341	0.03199	0.0845	0.08389
Block342	0.84391	0.8216	0.78454
Block343	0.02744	0.0412	0.04166
Block344	0.69279	0.70098	0.68407
Block345	0.88439	0.91255	0.85454
Block346	0.05394	0.11397	0.07477
Block347	0.00859	0.02534	0.01868
Block348	0.91382	0.9048	0.90468
Block349	0.71935	0.71697	0.71209
Block350	0.81979	0.85433	0.73722
Block351	0.76228	0.77451	0.77275
Block352	0.02134	0.03858	0.01934
Block353	0.07384	0.09913	0.15008
Block354	0.57674	0.47899	0.60409
Block355	0.66588	0.66781	0.50082
Block356	0.74309	0.75368	0.75114
Block357	0.23042	0.25243	0.24379
Block358	0.88977	0.90086	0.8809
Block359	0.40656	0.38174	0.39944
Block360	0.75986	0.77227	0.72917
Block361	0.88458	0.84804	0.82626
Block362	0.77965	0.79978	0.83005
Block363	0.41781	0.28264	0.24474
Block364	0.07448	0.15686	0.12245
Block365	0.92821	0.92576	0.90265
Block366	0.85744	0.83157	0.82938
Block367	0.78691	0.83493	0.83665
Block368	0.65706	0.63598	0.70226
Block369	0.78915	0.70979	0.64839
Block370	0.02941	0.0583	0.09187
Block371	0.00118	0.01034	0.00056
Block372	0.87472	0.81071	0.85624
Block373	0.83571	0.78639	0.82865
Block374	0.72129	0.74375	0.72556
Block375	0.84691	0.87581	0.86887
Block376	0.69882	0.69927	0.65251
Block377	0.93969	0	0.85983
Block378	0.77439	0.79603	0.80749
Block379	0.83905	0.85675	0.82152
Block380	0.83054	0.77398	0.7201
Block381	0.06448	0.29632	0.17592
Block382	0.85337	0.8003	0.85158
Block383	0.02024	0.07314	0.01558
Block384	0.74096	0.77739	0.76905
Block385	0.10387	0.11363	0.1725
Block386	0.72225	0.70111	0.66637
Block387	0.05645	0.09469	0.08228
Block388	0.92817	0.93786	0.87795
Block389	0.88112	0.84914	0.82595
Block390	0.84335	0.76841	0.75814
Block391	0.94692	0.89342	0.908
Block392	0.36861	0.31653	0.37635
Block393	0.92811	0.89519	0.89952
Block394	0.65672	0.73399	0.75611
Block395	0.8784	0.71285	0.8204
Block396	0	0	0
Block397	0.00016	0.00431	0.05837
Block398	0.84211	0.75806	0.76271
Block399	0.76946	0.814	0.81025
Block400	0.85262	0.86918	0.85262
Block401	0.70498	0.79132	0.78993
Block402	0.88889	0.91872	0.94755
Block403	1	1	1
Block404	0.80432	0.83249	0.83766
Block405	0.89	0.9	0.87143
Block406	0.73997	0.69004	0.71635
Block407	0.80855	0.79846	0.78593
Block408	0.01991	0.06671	0.03342
Block409	0.04403	0.04934	0.09605
Block410	0.81167	0.85304	0.77721
Block411	0.88909	0.90248	0.88006
Block412	0.01033	0.02029	0.02553
Block413	0.04539	0.0826	0.12005
Block414	0.84274	0.79515	0.83077
Block415	0.81224	0.75923	0.7896
Block416	0.62629	0.53688	0.69074
Block417	0.87288	0.82026	0.85789
Block418	0.05065	0.13365	0.07525
Block419	0.52769	0.42132	0.42038
Block420	0.7506	0.66728	0.65222
Block421	0.25176	0.26776	0.23685
Block422	0.82684	0.54901	0.56154
Block423	0.76723	0.78568	0.81318
Block424	0.863	0.81834	0.85368
Block425	0.7981	0.8851	0.85255
Block426	0.09035	0.1972	0.12407
Block427	0.88579	0.88612	0.89583
Block428	0.75892	0.7009	0.72936
Block429	0.81709	0.75694	0.68607
Block430	0.0054	0.00865	0.03004
Block431	0.90552	0.8638	0.89852
Block432	0.91	0.91554	0.98913
Block433	0.83979	0.87385	0.88049
Block434	0.07133	0.11898	0.09466
Block435	0.80041	0.8735	0.84827
Block436	0.1025	0.11936	0.13653
Block437	0.7095	0.58266	0.65745
Block438	0.0464	0.0499	0.06497
Block439	0.01526	0.11069	0.04489
Block440	0.75166	0.71679	0.72395
Block441	0.82612	0.8323	0.84039
Block442	0.00429	0.00435	0.00572
Block443	0.75	0.80932	0.79545
Block444	0.70294	0.77302	0.67185
Block445	0.67815	0.71407	0.71806
Block446	0.04279	0.12186	0.09667
Block447	0.16728	0.18319	0.22975
Block448	0.0139	0.02436	0.02061
Block449	0.64379	0.70519	0.67792
Block450	0.23426	0.20894	0.08287
Block451	0.86	0.78218	0.86316
Block452	0.02274	0.05852	0.04383
Block453	0.75012	0.74616	0.72007
Block454	0.85949	0.81336	0.83149
Block455	0.7885	0.79805	0.81284
Block456	0.01238	0.06027	0.07357
Block457	0.05625	0.14545	0.17157
Block458	0.77089	0.76391	0.65356
Block459	0.84848	0.88477	0.85584
Block460	0.66764	0.5989	0.69407
Block461	0.88467	0.83917	0.80826
Block462	0.01436	0.00704	0.00978
Block463	0.60638	0.57799	0.53563
Block464	0.85779	0.8483	0.85316
Block465	0.02878	0.10471	0.0695
Block466	0.70457	0.48693	0.47249
Block467	0.73317	0.7741	0.77935
Block468	0.86062	0.85057	0.83997
Block469	0.84999	0.84868	0.87237
Block470	0.88241	0.87908	0.8469
Block471	0.84595	0.82777	0.7822
Block472	0.60972	0.47962	0.51454
Block473	0.77791	0.74064	0.74018
Block474	0.81138	0.81573	0.82508
Block475	0.622	0.63045	0.62177
Block476	0.00828	0.03271	0.01525
Block477	0.8513	0.84147	0.878
Block478	0.86911	0.44108	0.62072
Block479	0.0415	0.08565	0.08164
Block480	0.82604	0.86477	0.85368
Block481	0.91385	0.91771	0.86667
Block482	0.625	0.5	0.92857
Block483	0.02477	0.03801	0.06565
Block484	0.85868	0.84988	0.84913
Block485	0.83784	0.92424	0.88525
Block486	0.02656	0.09337	0.05792
Block487	0.71682	0.75866	0.73358
Block488	0.82503	0.80701	0.78042
Block489	0.98889	0.82975	0.85249
Block490	0.00681	0.02151	0.02531
Block491	0.00334	0.00364	0.00014
Block492	0.62293	0.4375	0.2246
Block493	0.84154	0.83804	0.83157
Block494	0.07077	0.26975	0.13518
Block495	0.83541	0.84205	0.83716
Block496	0.78498	0.87044	0.90259
Block497	0.02219	0.02835	0.03808
Block498	0.87997	0.80704	0.79388
Block499	0.00278	0.0046	0.00109
Block500	0.82975	0.77333	0.82013
Block501	0.04844	0.10008	0.03634
Block502	0.77465	0.83246	0.79906
Block503	0.83848	0.82641	0.83709
Block504	0.91526	0.9094	0.89886
Block505	0.82259	0.81321	0.81038
Block506	8e-05	0.02533	0.00644
Block507	0.81266	0.7847	0.81846
Block508	0.86386	0.89866	0.88312
Block509	0.00872	0.03293	0.02143
Block510	0.02482	0.01806	0.07795
Block511	0.03522	0.07573	0.05278
Block512	0.00454	0.00788	0.0042
Block513	0.03111	0.11796	0.08563
Block514	0.90051	0.91068	0.91028
Block515	0.7723	0.71782	0.6609
Block516	0.00117	0.00421	0.02251
Block517	0.65278	0.81732	0.79091
Block518	0.80833	0.85333	0.86824
Block519	0.93939	0.92157	1
Block520	0.73293	0.66231	0.72004
Block521	0.84575	0.8681	0.89944
Block522	0.70393	0.36181	0.44703
Block523	0.63646	0.66732	0.61076
Block524	0.84326	0.76674	0.7775
Block525	0.86929	0.79819	0.8423
Block526	0.78068	0.80133	0.77024
Block527	0.70492	0.75643	0.74339
Block528	0.00595	0.00991	0.01995
Block529	0.81614	0.81736	0.82913
Block530	0.05157	0.03333	0.10379
Block531	0.83732	0.862	0.84316
Block532	0.78549	0.77862	0.75365
Block533	0.85	0.77344	0.90104
Block534	0.72604	0.54163	0.54013
Block535	0.88071	0.76346	0.72187
Block536	0.06349	0.06552	0.07375
Block537	0.3914	0.44405	0.40401
Block538	0.84375	0.84932	0.85597
Block539	0.78166	0.84702	0.78344
Block540	0.8903	0.87398	0.8801
Block541	0.78266	0.81373	0.81651
Block542	0.00432	0.01261	0.00764
Block543	0.91667	0.77233	0.75661
Block544	0.00142	0.00749	0.00581
Block545	0.66753	0.70172	0.69291
Block546	0.83022	0.77036	0.81686
Block547	0.58025	0.80719	0.80676
Block548	0.89209	0.8855	0.90683
Block549	0.06189	0.04389	0.03581
Block550	0.7147	0.35871	0.42377
Block551	0.78925	0.71224	0.70933
Block552	0.56107	0.36957	0.48805
Block553	0.00208	0.00844	0.00888
Block554	0.4288	0.27446	0.22377
Block555	0.83636	0.83077	0.83051
Block556	0.00325	0.00973	0.00612
Block557	0.03723	0.10011	0.0963
Block558	0.68502	0.51749	0.51614
Block559	0.83234	0.81953	0.77192
Block560	0.74013	0.73577	0.71451
Block561	0.86607	0.78333	0.80263
Block562	0.0995	0.08686	0.07335
Block563	0.00296	0.0152	0.0203
Block564	0.84471	0.8631	0.83113
Block565	0.82613	0.85588	0.83615
Block566	0.84073	0.78636	0.84692
Block567	0.9133	0.93227	0.93253
Block568	0.92073	0.90701	0.92178
Block569	0	0	0
Block570	0.88036	0.85722	0.86533
Block571	0.03604	0.24502	0.05588
Block572	0.89793	0.81641	0.85514
Block573	0.74523	0.7838	0.75109
Block574	0.57238	0.31695	0.26607
Block575	0.00163	0	0
Block576	0.87451	0.7913	0.79431
Block577	0.00763	0.01238	0.00742
Block578	0.02785	0.0315	0.04639
Block579	0.91417	0.90425	0.88494
Block580	0.44326	0.34057	0.3828
Block581	0.07504	0.08547	0.04154
Block582	0.90313	0.90535	0.90021
Block583	0.81834	0.8273	0.86616
Block584	0.83067	0.84053	0.82981
Block585	0.76881	0.71317	0.7224
Block586	0.77896	0.69822	0.75354
Block587	0.83112	0.83761	0.84954
Block588	0.77276	0.91944	0.91796
Block589	0.0005	0.00137	0.02462
Block590	0.00663	0.03881	0.01863
Block591	0.40215	0.28042	0.29913
Block592	0.044	0.10075	0.06402
Block593	0.75032	0.45767	0.53159
Block594	0.69083	0.7029	0.70643
Block595	0.00094	0.0041	0.00412
Block596	0.5	0.59395	0.59496
Block597	0.71112	0.69814	0.68169
Block598	0.89189	0.90197	0.859
Block599	0.00785	0.01286	0.00848
Block600	0.3108	0.28444	0.19575
Block601	0.88806	0.88067	0.91304
Block602	0.60035	0.35694	0.45656
Block603	0.7915	0.72686	0.66022
Block604	0.8047	0.8065	0.80605
Block605	0.77088	0.79998	0.75707
Block606	0.82639	0.70833	0.73148
Block607	0.83659	0.81591	0.83826
Block608	0.85522	0.80137	0.8033
Block609	0.88059	0.87527	0.90326
Block610	0.76277	0.6411	0.73694
Block611	0.79039	0.79733	0.79937
Block612	0.43066	0.30327	0.32863
Block613	0.37475	0.18335	0.30734
Block614	0.77293	0.76812	0.79469
Block615	0.00028	0.00035	0.00013
Block616	0.01863	0.01114	0.02845
Block617	0.88551	0.87965	0.88773
Block618	0.80069	0.80152	0.79746
Block619	0.01742	0.02175	0.03806
Block620	0.00596	0.01032	0.0105
Block621	0.78785	0.82416	0.83708
Block622	0.8989	0.90476	0.89862
Block623	0.71378	0.61771	0.60688
Block624	0.81771	0.81445	0.82235
Block625	0.16707	0.19743	0.21073
Block626	0.4065	0.32851	0.39714
Block627	0.7045	0.65199	0.70433
Block628	0.80726	0.82065	0.80486
Block629	0.52197	0.61276	0.56519
Block630	0.62467	0.78682	0.809
Block631	0.72583	0.73314	0.66477
Block632	0.71906	0.79768	0.84434
Block633	0.9179	0.92586	0.91968
Block634	0.73381	0.73211	0.71368
Block635	0.81731	0.81567	0.84709
Block636	0.77925	0.76377	0.79073
Block637	0.06435	0.03429	0.04002
Block638	0	0	0.00043
Block639	0.0018	0.00113	0.0002
Block640	0.22024	0.52867	0.56253
Block641	0.0414	0.08387	0.07386
Block642	0.63313	0.20265	0.16259
Block643	0.85841	0.86327	0.84913
Block644	0.13432	0.39949	0.17923
Block645	0.88404	0.84584	0.84398
Block646	0.85182	0.83754	0.83421
Block647	0.7636	0.77504	0.79127
Block648	0.8037	0.79834	0.82471
Block649	0.01731	0.0041	0.0081
Block650	0.01073	0.01543	0.00901
Block651	0.00489	0.00144	0.00687
Block652	0.46164	0.31751	0.36116
Block653	0.82755	0.80535	0.79146
Block654	0.84274	0.81089	0.81981
Block655	0.77633	0.80463	0.76979
Block656	0.89893	0.90496	0.87948
Block657	0.06587	0.05828	0.06781
Block658	0.74582	0.73912	0.70319
Block659	0.4267	0.47334	0.44444
Block660	0.01451	0.03188	0.02712
Block661	0.0656	0.04786	0.03734
Block662	0.82986	0.84475	0.85559
Block663	0.00083	0.00882	0.06572
Block664	0.75125	0.8002	0.74514
Block665	0.88487	0.79722	0.88084
Block666	0.88873	0.89899	0.85839
Block667	0.05067	0.03136	0.03495
Block668	0.60992	0.58822	0.60726
Block669	0.01065	0.0194	0.01228
Block670	0.78533	0.69959	0.74555
Block671	0.66445	0.60747	0.62447
Block672	0.88568	0.83484	0.81788
Block673	0.8225	0.80322	0.8149
Block674	0.82353	0.76012	0.78828
Block675	0.84997	0.83188	0.82734
Block676	0.74561	0.82057	0.77625
Block677	0.9458	0.94329	0.89717
Block678	0.5053	0.67672	0.6476
Block679	0.89805	0.86782	0.86838
Block680	0.66388	0.443	0.55003
Block681	0.00642	0.01382	0.01529
Block682	0.00284	0.00897	0.00167
Block683	0.87749	0.85489	0.87849
Block684	0.84809	0.8005	0.80631
Block685	0.75724	0.81059	0.76559
Block686	0.85714	0.89352	0.84848
Block687	0.71636	0.69241	0.70436
Block688	0.86473	0.90897	0.86271
Block689	0.81392	0.83136	0.84538
Block690	0.80509	0.83511	0.82497
Block691	0.93545	0.92757	0.93459
Block692	0.80416	0.78076	0.75853
Block693	0.01068	0.05716	0.03336
Block694	0.0722	0.1609	0.1115
Block695	0.76981	0.78346	0.77435
Block696	0.1032	0.07534	0.06974
Block697	0.76916	0.71675	0.71881
Block698	0.16912	0.18482	0.18758
Block699	0.59093	0.31145	0.29332
Block700	0.81653	0.78757	0.82404
Block701	0.8083	0.70889	0.63363
Block702	0.83126	0.80447	0.80964
Block703	0.00444	0.02476	0.00575
Block704	0.81576	0.87029	0.84921
Block705	0.91882	0.8813	0.91239
Block706	0.90397	0.83142	0.89062
Block707	0.7877	0.82881	0.78856
Block708	0.03375	0.07551	0.05828
Block709	0.92	0.75962	0.93548
Block710	0.76907	0.54351	0.58612
Block711	0.68523	0.63404	0.61015
Block712	0.82895	0.87	0.91667
Block713	0.88636	0.86932	0.9213
Block714	0.86301	0.90244	0.85593
Block715	0.5625	0.91892	0.89024
Block716	0.71465	0.75201	0.75473
Block717	0.0303	0.088	0.1358
Block718	0.88764	0.88012	0.89015
Block719	0.80409	0.81218	0.81914
Block720	0.67308	0.69697	0.61047
Block721	0.00294	0.00275	0.00149
Block722	0.14194	0.22446	0.17302
Block723	0.76603	0.78201	0.74447
Block724	0.00085	0.0022	0.00046
Block725	0.88949	0.88623	0.81522
Block726	0.03905	0.01866	0.03882
Block727	0.00091	0.00316	0.00422
Block728	0.86155	0.91015	0.87068
Block729	0.20281	0.27351	0.31473
Block730	0.85705	0.8965	0.85136
Block731	0.8963	0.92836	0.92845
Block732	0.87624	0.86144	0.84645
Block733	0.9071	0.89981	0.89877
Block734	0.83164	0.73229	0.78345
Block735	0.83397	0.85127	0.85702
Block736	0.86397	0.82602	0.78874
Block737	0.80403	0.87318	0.89363
Block738	0.02614	0.02739	0.03508
Block739	0.76128	0.78619	0.77017
Block740	0.66944	0.66	0.64773
Block741	0.84541	0.84854	0.82386
Block742	0.32888	0.2567	0.21173
