BlockNo_	S3300047	S3300074	S3300239
Block9928	0.79456	0.81847	0.77943
Block9929	0.04758	0.02607	0.0274
Block9930	0.04078	0.0707	0.07423
Block9931	0.75993	0.68145	0.61558
Block9932	0.72883	0.7346	0.72559
Block9933	0.84271	0.83739	0.80206
Block9934	0.46007	0.65643	0.71175
Block9935	0.80229	0.58701	0.52541
Block9936	0.79132	0.78346	0.79492
Block9937	0.15057	0.11668	0.08528
Block9938	0.18618	0.49047	0.39829
Block9939	0.01267	0.01921	0.01796
Block9940	0.79902	0.77767	0.76702
Block9941	0.01025	0.0831	0.0596
Block9942	0.7393	0.75826	0.75253
Block9943	0.37954	0.30562	0.25653
Block9944	0.8623	0.84657	0.80958
Block9945	0.78635	0.8311	0.7571
Block9946	0.08062	0.14619	0.13932
Block9947	0.00078	0.00258	0.02465
Block9948	0.67952	0.45527	0.34006
Block9949	0.23413	0.17467	0.13802
Block9950	0	0	0
Block9951	0.21863	0.24345	0.34457
Block9952	0.71338	0.75077	0.76242
Block9953	0.75	0.45	0.85
Block9954	0.33051	0.11969	0.19037
Block9955	0.84842	0.8132	0.83203
Block9956	0.01537	0.01755	0.03472
Block9957	0.04126	0.06499	0.05639
Block9958	0.73598	0.73197	0.76846
Block9959	0.70308	0.64902	0.64459
Block9960	0.00287	0.00591	0.00604
Block9961	0.02416	0.16488	0.06716
Block9962	0.70735	0.6778	0.72316
Block9963	0.71905	0.51144	0.48577
Block9964	0.81356	0.8381	0.76074
Block9965	0.77858	0.59642	0.63017
Block9966	0.86833	0.82568	0.86259
Block9967	0.89773	0.81162	0.8587
Block9968	0.81818	0.77477	0.68367
Block9969	0.03041	0.13798	0.08836
Block9970	0.01135	0.00587	0.00634
Block9971	0.85577	0.61644	0.69
Block9972	0.07985	0.20642	0.15302
Block9973	0.95169	0.91718	0.91924
Block9974	0.72787	0.75907	0.74698
Block9975	0.13933	0.07434	0.09322
Block9976	0.80199	0.78882	0.77671
Block9977	0.02692	0.08745	0.05726
Block9978	0.81674	0.83722	0.81687
Block9979	0.1383	0.04278	0.10361
Block9980	0.8337	0.7576	0.76683
Block9981	0.04819	0.18839	0.11646
Block9982	0.6964	0.66821	0.69672
Block9983	0.89819	0.87009	0.88275
Block9984	0.01696	0.03493	0.01472
Block9985	0.01538	0.09804	0.0359
Block9986	0.57576	0.48611	0.64706
Block9987	0.78458	0.71803	0.71968
Block9988	0.87238	0.81498	0.85029
Block9989	0	0	0
Block9990	0.8126	0.81612	0.85067
Block9991	0.91424	0.87729	0.88876
Block9992	0.87556	0.85411	0.86854
Block9993	0	0	0
Block9994	0.77178	0.78531	0.77379
Block9995	0.00364	0.00622	0.04329
Block9996	0.08764	0.13598	0.14649
Block9997	0.8	0.85965	0.82051
Block9998	0.80618	0.74454	0.73235
Block9999	0.05846	0.19116	0.14196
Block10000	0.68042	0.737	0.68272
Block10001	0.32207	0.49274	0.40082
Block10002	0.74705	0	0
Block10003	0.05052	0.11406	0.13737
